external_id,notes
274,"Sue got connected and we are scheduling a meeting in January, GD, 12/17"
275,"Nicole originally wanted to partner with us for production for a summer event, but it got pushed to holiday. Gaby followed up for an update on if this is still happening - 8.26"
276,"[July 2024 Intake Notes here - ended up passing because of budget. GD sent follow up note to chat 2025. GD, 12/3](https://docs.google.com/spreadsheets/d/1XuRk7UKgahcVF-z3-ogSUPGoku3nyco7DmrYpfm5zLw/edit?usp=sharing)"
277,"[Intake Notes here - We passed on RSVP management, but sent details about Liquor Cabinet. Waiting on response GD, 11/25](https://docs.google.com/spreadsheets/d/1pjSJjr1woaVH6CaD1MHMZM1_iad_Sbe-Nzubknl41WM/edit?usp=sharing)"
278,"Production team sent an intro, Gaby sent a follow up to schedule a call. GD, 12/2"
279,"Jess reached out about an event in October and we had to pass due to bandwidth. To ensure future opps, we are signing an MSA and hopping on a call to be a preferred vendor. She never responded, so I followed up. GD, 12/3"
280,"Sue had a meeting with Heidi after they invited her to the Margaux event. They upcoming events for their client Cybex. They owe us budgets, and then from their we can chat more details. 10/21"
281,"[Intake here - they are interested in production + RSVP Management, Gaby chatting scope and fees. 10/22](https://docs.google.com/spreadsheets/d/1WoPBGfzlgWHUWfj30LQlGiEo_88KePQDtkZUXueMvZI/edit?usp=sharing)"
282,"JB reached out to Sue, Sue shared our deck. GD followed up for next steps and JB asked to circle back in early of Decmber. Let's reach out when RTH is ready. SY 10/15"
283,"Filled out form, budget is too low and dates don't work. GD inquired about flexibility. GD, 12/10"
284,"Met the team at J.Crew Gifting suite and reached out to general about our services. GD scheduling a call. GD, 12/3"
285,"[Full brief here. Internal Go-No-Go. GD, 12/10](https://drive.google.com/file/d/1rCPj4RxFa5R9No6LEljRN1mfwzf_fiPx/view?usp=sharing)"
286,"Gaby sent form to review opp, we're passing on the overall gallery activation, but are pitching VIP dinners - 7.9"
287,"[Intake here - more of an intro call. Daniel is shopping around to his team and will get back to us with opps. They want to meet Sue when she is in LA next. GD, 10/22](https://docs.google.com/spreadsheets/d/1WOwOqOtttaX342gd2-k0eNUdHhYHr2hsdmzotiZXvUU/edit?usp=sharing)"
288,"[GD took call, Intake Notes here. Internal Go-No-Go with Alexandra & Sue. Recommended passing. GD, 12/3](https://docs.google.com/spreadsheets/d/1IShWo41DqaCU2CfdQ8u6NjdsEqIe8TFK-HCJzrhW4C8/edit?usp=sharing)"
289,"Had a call, they don't have much budget. GD, 12/3"
290,"They reached out to us and thought we were a catering company. We passed, but we offered a call to understand their needs for future opps. Marci to join as it relates to 3.0. 10/4"
291,"David appraoched Sue to produce the events that PRIOR would creative produce. Zach is working on a budget to help with RFP process, but this is very tbd. 10/17"
292,"Gaby connected with Coco. She has an upcoming launch with Rouge. Timing is tight, but I told her to send details and we can review in full from there. 10/22"
293,"[Intake here - Internal go-no-go on RFP. GD, 10/23](https://docs.google.com/spreadsheets/d/1_ROGcvgE44xaD9wY7vcoeIzkUWPP3kyhr_d2N3IeDRw/edit?usp=sharing)"
294,"[Intake Notes here, Care of Chan passed on the opp. GD, 11/19](https://docs.google.com/spreadsheets/d/1cb78DDBm6RDAYrO35QfoIciX8YcECfgesKsKo1Ri_Q0/edit?usp=sharing)"
295,"[Intake here - Internal go-no-go on, GD 11/1](https://docs.google.com/spreadsheets/d/1arkYmoPr8GobvcmhKYA5bW-74m-xzNNYCA6RTsBlvWM/edit?usp=sharing)"
296,"[Intake here - more of an intro call. Daniel is shopping around to his team and will get back to us with opps. They want to meet Sue when she is in LA next. GD, 10/22](https://docs.google.com/spreadsheets/d/1WOwOqOtttaX342gd2-k0eNUdHhYHr2hsdmzotiZXvUU/edit?usp=sharing)"
297,"[Intake here - budget is super slim, but we are waiting for them to share images of their line so we can point them towards a venue or freelance producer who could take this on - 9/30](https://docs.google.com/spreadsheets/d/1FrfVHhk0ulYUREyVcT5ZBlSU3SE8TAdU0n1IikzphJg/edit?usp=sharing)"
298,[Intake Notes here - Gaby in chats with Kristin about RSVP Management - 10/3](https://docs.google.com/spreadsheets/d/1UdhDiMUWrBNB03y3VSmmstAThy_o-gJMP682JbaK7tc/edit?usp=sharing)
299,"[Intake Notes here, we sent proposal earlier in the year, and Mack let me know LDN is potentially coming online, Gaby followed up - 7.8.24](https://docs.google.com/document/d/1djT-cZTHEhOncNaGxpetaivWH8FO-65wkwyjjWrB8KI/edit?usp=sharing)"
300,Gaby scheduling intake for week of 9/16
301,"We were in discussion with them back in 2023, but conversations stalled. Alexandra followed up after news came out about the opening in 2025. 6/5"
302,"[Intake here - We passed, but we are trying to get Sue to the event so that we can secure future gigs with Uniqlo. 10/4](https://docs.google.com/spreadsheets/d/1JOHFR1Qq4XpFhNzHc2OrprmK7dKmT0w-phgT92iPQ1I/edit?usp=sharing)"
303,"[Intake Notes here, we sent proposal earlier in the year, didn't hear back. Gaby to ask about the potential for this in 2024 in the Fall - 8.5](https://docs.google.com/document/d/1djT-cZTHEhOncNaGxpetaivWH8FO-65wkwyjjWrB8KI/edit?usp=sharing)"
304,"Spoke with Allie about a potential retail activation where we would come on to consult. Budget ended up being way too small, however we are sharing an ideal budget number so they can plan to have us help in the new year. Gaby sorting that out with Alexandra - 8.22"
305,GD upselling VIP RSVP Management. Client asked GD to share case studies or event recaps on Care of Chan’s VIP services SY 09/12
306,"[Intake here - more of an intro call. GD, 9/17](https://docs.google.com/spreadsheets/d/1DsSYT0FpPDiKgPsERx9kj0LLO74pn8NVT_2VqLc27rk/edit?usp=sharing)"
307,"Gaby sharing rough estimate, waiting to hear back on feedback. No word, so followed up - 8.26"
308,"[Intake Notes here - Scoping other agencies. Gaby shared our deck and is waiting on next steps. Gaby checked in with Natasha about this since Resy is sponsoring, waiting to hear back - 8.5](https://docs.google.com/document/d/1csGB1Q7_yi9aR5F27F_ObENVyXJtm3v6GBQHl2mAs-c/edit?usp=sharing)"
309,
310,"Sue met with contact week of July 8: ""I met with her last week and gave her some ideas that she plans to present to her boss. I do think we should still keep this lead warm but looks like 2025 is the soonest something will happen"" - 7.15. Emailed March 2025, said she would pass along to the Marketing Director."
311,"[Intake Notes here - Gaby sent note to Kristin that budget is too tight. We pitched the idea of only creative consulting and helping with RSVPs, waiting to hear back. Gaby followed up - 8.22](https://docs.google.com/spreadsheets/d/1UdhDiMUWrBNB03y3VSmmstAThy_o-gJMP682JbaK7tc/edit?usp=sharing)"
312,"[Intake Notes here - Gaby to confirm pass, but leave the door open for 2025. 9/12](https://docs.google.com/spreadsheets/d/1LcAo_YbmBFd8kwoQQ4rtD0WCEq45YO-JDuWv-9k8pko/edit?usp=sharing)"
313,
314,"Reached out about an event in November, don't have the bandwidth"
315,"Reached out about work, we told them we are at capacity - 9/11"
316,"[Intake here, Gaby taking secondary call for final details/budget before we can move into internal go-no-go 9/24](https://docs.google.com/spreadsheets/d/1CdYEkZWiiCBf32TCsNarwWTzOpMz80F97Rqq-kCbFPQ/edit?usp=sharing)"
317,"Sue met with head of hotel in early August and they said they'd reach out in two weeks to discuss programming with us further. Theyd didn't end up reaching out, so Gaby asked Sue to follow up - 8.26"
318,Sara'o reached out to us about an activation in September that we had to pass on due to timing. He mentioned to Sue that they're may be an opp to work together on the Parthenope party. Gaby to schedule intake - 7/17
319,[Intake Notes here - Gaby working with Alexandra on go-no-go 8.22](https://docs.google.com/spreadsheets/d/1U3_qsXwnpWYnmPDPHQ1HR-9RtIbpvfUWDiFdibIyI88/edit?usp=sharing)
320,"[Intake Notes here - we ended up passing on this, but will keep in touch with Lede for future opps. 8.22](https://docs.google.com/spreadsheets/d/1rssboiCW7uazyMmDMDY718AwDFwdkhFGgKB6lCLZofc/edit?usp=sharing)"
321,"They let us know about a Fall event. No updates yet, but they said we'd be the first they'd go to should they have enough budget - 5/31"
322,"Gaby passed due to bandwidth, but check back in during the Fall to see what they have in the pipeline - 6.24.24"
323,"Gaby had intro call with their team on 4/10. They don't have anything specific at the moment, but love what we do for J.Crew and may have a potential opportunity for us in the Fall. Gaby will check in with them in the summer."
324,"Gaby & Sue met with Laura in 2023, Sue followed up - 3.25.24"
325,"Sue sent a note to Jaime with our deck, Jaime let us know they have an in-house producer, but would let us know of any future relevant project"
326,"Emily reached out about a pop-up, but we passed because it was more about fabrication and less about brand building. We offered OVERNIGHT as an option, and they let us know they'll keep us in mind for future opps that are more relevant to our work. Sue/Gaby to follow up in July to see if they have any Fall events planned. 6.4"
327,"Elana reached out about an event in September 2024. We declined due to other projects, but Gaby trying to connect to chat 2025 - 7/31"
328,"Sue reached out to team for 2024 events, no response from client yet - 7.2.24"
329,Darcy passed on BABES but looped us in to help plan two cocktail events for the summer. Sue is owning this scope. 6.4
330,Daniel from Lede let us know in April he's waiting to meet with Whatsapp and will get back to us. Gaby asked Sue to follow up - 5/31
331,[4/3 Intake Notes here - they ultimately passed because of the timeline. Gaby to check back in later in the year for other opportunities.](https://docs.google.com/document/d/1F5TlDcUAI5EHU_FmUKi5TLXumA3Is1N6vCYE5W4WeqY/edit?usp=sharing)
332,"Sue sent agency deck in 2023 and followed up to chat new biz, Cathy asked to circle back in June. Since we're at cap, Gaby to circle back in the Fall to talk 2025. - 7.9"
333,They were interested in us getting involved with their Tennis Camp events - Gaby followed up on 5/31 to try to schedule a call
334,"[General 2024- Marimekko - Meet-and-Greet  
Gaby shared services deck- Marimekko to let us know if they have projects to reach out about](https://docs.google.com/document/d/1-ZbZ5x4iDVuHZLnC-5cvYKlhWgmwmCdSozoI5r9Yapc/edit)"
335,"Gaby sent form & scheduling intake call to get more details, we ultimately passed, but Marci is in touch to discuss what our 2.0 services could look like for their corporate events - 7.15"
336,"Had an intro call with her, nothing solid at this point, but we're on their radar and they have our agency services deck."
337,"[Intake Notes here, we passed on this opp due to bandwidth but Gaby to check in in the Fall to discuss future opps - 7.9](https://docs.google.com/spreadsheets/d/1-Y9WSBU_pXHgqD0hKf9s-MQwTyrgFt1Ml78djrWzTOM/edit?usp=sharing)"
338,"We ended up passing on this because of bandwidth, but Gaby to plan on circling back in May for potential future projects."
339,"Ended up passing due to budget, but know about our services and will keep us in mind for upcoming events in Summer 2024."
340,They reached out to Sue but it was super last minute and we had to pass. They're intereted in working with us in the future.
341,"Erica reached out about helping out with a gifting initiative (they saw our work wtih Coach), but we didn't take on due to bandwidth. Gaby to check in during the Fall to chat about 2025 opps. 7/24"
342,"Sue sent proposal, Shane passed because they hired an events person, but they want to explore a scaled back program. Gaby connecting with Events Director in July to discuss what that would look like - 7/9"
343,We ended up passing on this because of bandwidth - 6.18
344,Sue owning conversation and will update Gaby via Slack
345,We ended up passing on this due to bandwidth. 6/18
346,"Alexandra sent proposal, Kirk said this is on hold while they figure out their BOH sitch - 4.22"
347,"Zach and Dani sent a collaborative pitch deck to Jessie to use to pitch the series to other regions. They have been extremely slow to respond, so we are going to push for 2025 events."
348,[Intake Notes here](https://docs.google.com/spreadsheets/d/18QLMDxejF-zv32xZ1yJXMh5PKoEH7f3jU0mceXzSXBo/edit?usp=sharing)
349,"We didn't have the bandwidth to take on this event at the time, so Sue passed them to Overnight. Sue is trying to schedule a meet and greet to chat future opps - 5.30"
350,"Reached out to Cole about marketing their festival. Timing is tight, but Gaby taking the call to see how we can work together at large, 6/7"
351,"Sent proposal, waiting on go-no-go - 5.31"
352,"Gaby passed due to bandwidth, but check back in during the Fall to see what they have in the pipeline - 6.24.24"
353,"Reached out in June 2024, but we didnt have bandwidth"
354,"Gaby chatted with Laura for intake, waiitng on her for next steps, 6/6"
355,"[Gaby had a meeting with him about an in-store event, but it was three weeks away, so he's going to keep us in mind for a future dinner series he's looking to launch. Intake notes here - 4/22.](https://docs.google.com/document/d/1hHP2LsYL7fquwNlKGuDuyhO9j6o4CaBAMhZOpY_WshM/edit?usp=sharing)"
356,"Gaby trying to schedule call, 4/3"
357,"Timeline to program their chef partners was super agressive. We countered their timeline, but they passed because our fee was too high. - 4/22/24"
358,"[They wanted to scope us out for catering. I told them we do exec production and they were interested in engaging us, but needed to get back to us with updates. Gaby followed up 4/29 Intake Notes here](https://docs.google.com/document/d/1RIRdEy3tvhARTaytPLg6VK6F3fE---PSX10hhsu_58A/edit?usp=sharing)"
359,"[4/5 Intake Notes here - Lisa wants to partner with us to produce events for her advertisors. Nothing immediate yet, but Gaby told her to get back to us once she has an opp so we can review if we can help out.](https://docs.google.com/document/d/1AQ_9EwlDUEAxB7JvZslZbDFeEHbhrXADVQv4elRGM0c/edit?usp=sharing)"
360,"[4/5 Intake Notes here - waiting on final budget from them. They said it was $20K, but they are seeing if they can raise that for us.](https://docs.google.com/document/d/1hjlpqiWtYo8hX3xg_UPZK-MJpRbVOM6fPjJEGd0Haus/edit?usp=sharing)"
361,"[Gaby + Sue took intake call, they need to get back to us on budget before we move forward with a proposal. They also need major help in getting sponsors to back this, so we'd need to first charge them for that to determine if we can move forward with event. Intake notes here. 4.24.24](https://docs.google.com/document/d/1jT5wbZi__2hCKrnImUae-vNxwBS8Ou7wtu7KYU0ryhs/edit?usp=sharing)"
362,emailing with Sue
363,[1.26.24 - East Fork Pottery Intake Notes](https://docs.google.com/document/d/1d0CbtOXfgNRa7xlFSiVpEgsg6jBMFug0uTY2Zp9Dj30/edit?usp=sharing)
364,[Intake Notes here - Camilla passed on scope. She's waiting to fundraise and will circle back when she has more money.](https://docs.google.com/document/d/13ejvepfkI3Iq4kx8L00cWn4FuxPhGnk7oSeQ7MvUL_Y/edit)
365,"They sponsored an event, and Zach connected Gaby to chat new biz. Gaby working on scheduling - 4.8"
366,"[Intake here, Gaby working with Sue & Alexandra on internal go-no-go, 9/20](https://docs.google.com/spreadsheets/d/11ceIPE_84F1V8sGKNfsROy1-xo8JzC5lCFT2KcKxTok/edit?usp=sharing)"
367,"Mati connected Sue. Dylan will be on the World Cup project, but he wanted to meet us in case we could help him on other projects. Afoma is setting up a meeting. GD, 4/3"
368,"Sue met with Mati and he mentioned the World Cup activation. GD, 3/26"
369,"Cam gave us a heads up that this is in talks. GD, 12/12"
370,"Lexie from Nunchi passed along Sue's email for an intro. SY, 06/17"
371,"CoC hosted the A24 Materialists after-party at the Plaza Oak Room. The staff was a pleasure to work with and requested a meeting to see how we can work together more. SY, 06/11"
372,"Lead came through Prix Fixe summer suite. SY, 06/10"
373,"CT wanted us to help them with a potential Mercedes event, but they are unclear on budget, so convo has been tabled. SY, 8/21"
374,"Gaby met Celeste at Office Hours. C&B sounds like they want to do more events. SY, 06/12"
375,"Westview Ventures reached out on behalf of Goop, RFP requested on 5/23/25, proposals due by 6/4/25. Sue responded asking if there's flexiblitiy, response TBD, SY, 05/29"
376,
377,"Sylvie Florman connected me. Scheduling intro call. GD, 5/15"
378,"Stevie gave me the heads up. GD, 5/9"
379,"Lori mentioned this was happening and asked for case studies. GD sent follow up, 6/12"
380,"Alexandra met with him for an initial call. She's setting up an in person meeting with me and Sue at WSA. GD, 4/3"
381,"Alexandra mentioned a holiday event in September. GD sent a note to follow up for details. GD, 5/5"
382,"[Intake Notes here. Waiting on go-no-go from client. GD sent follow up, 6/11](https://docs.google.com/spreadsheets/d/1Z9JojVTY1qO1J0DeGta1Z1wIr7AxVf5d3Ih558BjYMk/edit?usp=sharing)"
383,"Had an initial call. GD sent proposal and waiting on feedback. GD, 6/12"
384,"GD had an intro call. They have our deck and will keep us top of mind for future events. GD sent follow up, 6/12"
385,"GD working on concepting scope with Cat. GD sent follow up, 6/12  
  
Lots is going on at Moet & LVMH in general news. We should tread lightly when we follow up with Moet SY 07/17"
386,"Sue sent our deck. They mentioned their may be opportunities in the summer. GD, 2/12"
387,"[Notes here. Sara'o gave Sue and I the heads up that this might happen pending budget when we checked in at the top of 2025. GD, 1/15](https://docs.google.com/document/d/1UBhBXEDn_R3SPCKtdR6vlnJZ-uRSBiqw6Xc8ijzRztQ/edit?usp=sharing)"
388,"They reached out to us for a spring event and we passed due to bandwidth. They mentioned a Fall event that we want in on. GD to follow up in June 2025. GD sent follow up, 6/12"
389,"Had drinks with Vanessa. We chatted about some events in CPH & Berlin, as well as a big partnership event in Q4. GD sent follow up, 6/12"
390,"GD updating Liquor Cabinet Deck and will send over to them. GD, 1/29"
391,"GD drafting SOW. GD, 2/6"
392,"Gaby sent deck + Sue followed up with some notes. Waiting on client go-no-go. GD, 4/3"
393,"GD and SC met with Holly to chat the full 2025 calendar. Holly wants to see what a retainer model would look like. GD working with Alexandra to organize next steps. GD, 1/15"
394,"GD renewed 2025 contract, 1/22"
395,
396,"Reached out with an RFP. GD setting up call, 2/7"
397,"Sue & GD hopping on a call with Lauren in the next couple of weeks. GD, 4/8"
398,"[Scope here, September 1 start date. Gaby checked in for confirmation of dates, waiting on final feedback for contracing - 8.26](https://docs.google.com/presentation/d/1oBtBdp1tjtipF_13WE2P4aHABR_WSbMuTRS6EwzW9UM/edit?usp=sharing)"
399,Aiming for September 1 start date
400,
401,
402,[Intake notes here](https://docs.google.com/spreadsheets/d/1yBZKnbKhUod6cFjki0V1B7GV8MRb46v_9F9RFkQlFg8/edit?usp=sharing)
403,"Nicole sent through the opp, Joanne is scheduling intake and GD to join. 11/1"
404,"[Intake Notes here, GD assessing internal go-no-go. If we do this, we'll have to push the dates. GD, 12/3](https://docs.google.com/spreadsheets/d/1PudpNcf1UQowt38k4tukDvdNmJgRNtkMhHZi5FD3YrI/edit?usp=sharing)"
405,Cam wants to build a case for another influencer trip in 2025 and would like us to schedule a brainstorm later in late July - 5.30
406,"GD scheduling official intake call in Jan. GD, 1/2"
407,"GD setting up call for this week to grab more details. GD, 1/21"
408,Rachel told Sue about this opp and said that she'd reach out to us in a couple weeks - 9/20
409,"Sue did site visit, we're waiting on final confirmation on scope & fee. GD, 3/27"
410,"[Intake notes here. Internal go-no-go. GD, 4/3](https://docs.google.com/spreadsheets/d/1RxE-tLmdYegfiPXmQG4lcF3dJQZ5K-fxjGjZLgf2vzg/edit?usp=sharing)"
411,"Lori reached out via Typeform. GD setting up call. GD, 2/18"
412,"To celebrate Bastille Day, Resy and Le Diplomate will partner to bring an engaging and exciting experience to diners. Carefully curated branding and thematic experiences will lend to a celebratory for both restaurant guests and the community, alike.  
  
- Resy has not been able to have their meeting with STARR yet, but we've moved all Creative elements into Production"
413,[Intake here](https://docs.google.com/spreadsheets/d/14qJmg2FMn7t0n06huFu-oNcbMd_0Y8KevfyXdddu3YY/edit?usp=sharing)
414,"[Intake here, GD sharing scope with Holly for review. GD, 1/15](https://docs.google.com/document/d/1MWOb1MoBsYpI9Me07WWEnGAmAwScyPJyfffCmYoVjzY/edit?usp=sharing)"
415,"GD scheduling a call to chat through details. GD, 2/6"
416,"Sue met with Daniella & the Yola team to chat through event opps. Right now, they are thinking of the below:  
Wed, July 16 - Box Buyout at Liberty vs. Fever Game at Barclays + Brand(s) PR Dinner in NY  
Fri, July 18 - Brunch/Lunch in Indy before game  
Sat, July 19 - After party in Indy after game   
  
Sue to loop me in once she's ready. GD, 3/27"
417,[Intake Notes here](https://docs.google.com/document/d/1pgpV9yPtlV49NDnwZdhTEwxxqEKB2lt_TwVbI9QDZII/edit?usp=sharing)
418,[Intake Notes here - Gaby confirmed that we'd like to move forward with the client and will kick off proposal phase - 8.16](https://docs.google.com/spreadsheets/d/13mA7LMMskt9tdhPQpeNkSTqiChI4C-v2rpN7x696DJ4/edit?usp=sharing)
419,Scope Completed
420,"[Theory- Power Lunch/ Columbia University Women's Day-  Production Intake Notes  
](https://docs.google.com/document/d/1Shl6gZaMvBYp8xFOK2O8fcIX1vNT5WAClAqWWiBjZCY/edit)"
421,[Intake here - waiting on final date. We can take this on if it's in December. ](https://docs.google.com/spreadsheets/d/1v5x0hsNWp8R9r_1F2Lp4tGaNNO32aepAKBtrYBgjPmo/edit?usp=sharing)
422,[Intake Notes here  ](https://docs.google.com/document/d/1ogB6SfFmv-mXK7k60mY2MJucF0jbGRgRTCc3WCGB3y4/edit?usp=sharing)
423,"[Intake Notes here - 7.8.24, PLEASE NOTE THIS IS AN RFP, GIG NOT WON YET](https://docs.google.com/spreadsheets/d/18wLUL_ktAg3MrAkV_zW1rxWdD4PaXsnf0r7Aa6HdoWY/edit?usp=sharing)"
424,"Sue reached out and Sade said Holiday Party is definitely in the books. Gaby to schedule intake call closer to the date. In the meantime, they flagged they want to host at WSA. Sam is interested, just wants to confirm budget. - 7.2"
425,[Intake Notes here (FYI this shifted to a Power Lunch)](https://docs.google.com/document/d/1aDO9kCgTlcbM3K1dRldp7QATY2SKUZZo_Z-peO0dJrw/edit?usp=sharing)
426,In Progress
427,[Proposal Here - waiting on Natasha to finalize scope before getting into contract phase - 3.18](https://docs.google.com/presentation/d/1tWe1KcB9lvuVQlwvhI7Dt7M7eLCeHDkLEN-gQs39e9w/edit?usp=sharing)
428,"In discussion with Natasha about retainer model, we sent proposal and are in negotiations phase. "
429,Scope Completed
430,"Scope Completed, Boutique on payment plan for Final Invoicing"
431,[Intake here](https://docs.google.com/spreadsheets/d/1sffWPld5ocYoV9G4kadC5P2rNw1HSqnBZZEO35TWKP0/edit?usp=sharing)
432,"GD had intake call, budget is unclear, so waiitng on number and then we can tell them how we can help. GD, 10/21"
433,[Intake here](https://docs.google.com/spreadsheets/d/1u2TNTLQHMCcRVUSOnRvj-j4_ZfDIKO-k4kUJJiDlLuw/edit?usp=sharing)
434,Scope Completed
435,Scope Complete
436,[2024 TOUCHBASE- J.Crew ](https://docs.google.com/document/d/1_WHwh0ejcATWBWwzU5BS-BzWfMkobOfaZCnf8K0kqrI/edit)
437,[J.Crew x Maryam Nassir Zadeh Proposal](https://docs.google.com/presentation/d/1GFSX50PDcgnas-pIwETHLybp8LUsq6ppxxNi9RqM7V8/edit?usp=sharing)
438,[Intake Notes here ](https://docs.google.com/spreadsheets/d/1fv5TP-sGImoDeDgm0q6S5Lvu0dY4Rk6iAyw8o3v1ufY/edit?usp=sharing)
439,[Intake notes here ](https://docs.google.com/spreadsheets/d/1dwS-HtNrZ5LbiPOG8xCbmYYHLc1reyFpcKS92h8nDvQ/edit?usp=sharing)
440,Scope Complete
441,[Intake Notes here ](https://docs.google.com/spreadsheets/d/1u5L-qG7tGsGkSX-efurdlWzAY5SFtIzaDoC7-eJblUk/edit?usp=sharing)
442,
443,[Intake Notes here ](https://docs.google.com/spreadsheets/d/1XMRRLq16SN7I8TY1ks_nK8T_ma8dTcZMNh1mhPCHMSk/edit?usp=sharing)
444,Scope Complete
445,[Intake Notes here ](https://docs.google.com/spreadsheets/d/1OCr6yCJbswIMILSGIcdlpKD1PfWApjOOIQYYcBZsU4k/edit?usp=sharing)
446,[Spring 2024- Madewell Denim Atelier Roadshow-  Production Intake Notes](https://docs.google.com/document/d/11PTXrSsvlhIIZM2lrzWO6JvakxIm7VfWDIQljhpO8cw/edit)
447,[2.12.24 - Men's Community Campaign Dinner Intake Notes](https://docs.google.com/document/d/1a3vYPFQx04IZ7BOGMSAvDx3u_H8RYtlYRhdYfz5tziM/edit?usp=sharing)
448,[2.4.24 - Madewell Summersounds Dinner Intake Notes](https://docs.google.com/document/d/1HGxdgTPJA9VwAXLmgcphr6q0_9Cny_qaSChRma6ZRco/edit?usp=sharing)
449,[Intake notes here](https://docs.google.com/spreadsheets/d/1FvCcB1UcGn_L0dwWEZyjiRscP4wpHmr3Kx5Pcp_3PUw/edit?usp=sharing)
450,In Progress
451,[CoC x NYT 2024 (EXTERNAL DOC)](https://docs.google.com/document/d/1djT-cZTHEhOncNaGxpetaivWH8FO-65wkwyjjWrB8KI/edit?usp=sharing)
452,[Intake Notes here](https://docs.google.com/spreadsheets/d/1FzLePmvl_ynfTx-LkrqBwVLzT9ymYJ-zZRgo-6FQbDk/edit?usp=sharing)
453,
454,
455,
456,
457,[Intake here ](https://docs.google.com/spreadsheets/d/12zvUYMLldOlPONV2kpnFSq0CYQXNXAHhv8hWTIf4zuQ/edit?usp=sharing)
458,
459,"[Intake Notes here - Gaby sent note to Cam that we're interested, but it will require more budget, waiting to hear back 8.19](https://docs.google.com/spreadsheets/d/1aAEQoZ-Tm1gqWt8veb2fyiPEYE9WU6KhbTqDzbPseDQ/edit?usp=sharing)"
460,In Progress
461,[Intake Notes here ](https://docs.google.com/document/d/1UJ_k1x8zwXr2lEky2wJFats3oD94-I-585pZJLZn8Lg/edit?usp=sharing)
462,[Intale Notes here](https://docs.google.com/document/d/1d-xDCTigcbFkBX8Jd9FXJM74jIepCR7-p1H4z61582g/edit?usp=sharing)
463,[Intake here - 8.29](https://docs.google.com/spreadsheets/d/1TK9bSAxyKe8WrjXsVP0GBddrpDgUND1HVkTOtxPPXfk/edit?usp=sharing)
464,"GD sent proposal for Programming. Sounds like they also want production, but Gaby needs to work with Alexandra to make this work for us. GD, 4/3"
465,"P&F connected us, GD hopping on a call. GD, 4/3"
466,"Sue is a friend and had a meeting with her to pitch our services. Tiffany wants to set up a call in March. GD, 2/5  
Sue said to ignore/let this opp pass. SY 08/12"
467,"[Notes here. Sara'o gave Sue and I the heads up that this might happen pending budget when we checked in at the top of 2025. Gaby to follow up in the Spring. GD, 4/3](https://docs.google.com/document/d/1UBhBXEDn_R3SPCKtdR6vlnJZ-uRSBiqw6Xc8ijzRztQ/edit?usp=sharing)"
468,"[Notes here. Sara'o gave Sue and I the heads up that this might happen pending budget when we checked in at the top of 2025. GD, 1/15](https://docs.google.com/document/d/1UBhBXEDn_R3SPCKtdR6vlnJZ-uRSBiqw6Xc8ijzRztQ/edit?usp=sharing)"
469,"- Instead of just supporting the book in a few steakhouses around the US, Resy wants to go bigger and bolder!  
- Prelim talks about bringing a steakhouse (Peter Luger's?) to a winery in Napa (in support of the Tock integration)  
- Natasha is meeting with the new B2B VP on 07.21 and will be floating this idea to him"
470,FP filled out Typeform. They're constantly have various programs and activations and are looking for new and innovative partners. SY 5/29
471,"Client is celebrating a new store concept tied to a campaign launch later this month. The first store of its kind will open in Raleigh NC on 10/1. Client is looking to host a preview party the night before opening (9/30) and opening day events for customers (10/1). They will also have weekend programming (10/4 - 10/5). This event will need to be highly brand aligned with the new concept, with each touchpoint translating across all events. SY, 07/29"
472,"JJ reached out. Trying to schedule a call to chat details. GD followed up, 5/5"
473,"They will combine the Resy & Tock Marketing teams in Q1 (January 31st is the timing that was thrown around) - if that date sticks, Resy/Tock will issue a PR release in November, for which they'd like to explore an experiential event focused on wine makers & wineries in LA/Napa around the same time to get this industry informed and excited about Resy"
474,"[Intake notes here. Waiting on final budget confirmation + rush fees before proceeding. GD, 1/27](https://docs.google.com/document/d/18mdCA_zjHmhgueCmgugDfV9cDb7qlmXwM0I7ENlcuHo/edit?usp=sharing)"
475,"[GD to kick off Event Concepting scope. See here for full details. GD, 1/18](https://drive.google.com/file/d/1DQDuIQQLf-kzPUAN73IyTKbFm8nlG2Wt/view?usp=sharing)"
476,"Event was initially for Feb, but got postponed due to LA fires. Given the political climate, not sure if this is still happening. GD checked in with Daniel. GD, 5/1"
477,[Intake here ](https://docs.google.com/spreadsheets/d/1s8zhmX0SsMAidaQfs-KqjwAHpG-n2YOW220DQSRNgm0/edit?usp=sharing)
478,"This event got canceled, Alexandra negotiating a flat fee for the work we did for the proposal. 10/2"
479,[Intake Notes here - Gaby confirmed go with this event with the client - 8.16](https://docs.google.com/spreadsheets/d/1dcSj9Kf5bMkvJVCNDAwgglHXYdUCkT7oCYXqWHcbg0I/edit?usp=sharing)
